"","gender","education level","province","marital status","experience of finance","The level of risk reverse","finance problem 1","finance problem 2","The condition of the answer of financial problems","real estate","fund","stock","bond","internet planning","financial planning","derivative","gold","no RMB asset","pension insurance","medical issurance","business issurance","educational investment"
"546","femal","college","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No"
"547","male","undergraduate","上海市","unmarried","No","Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"548","male","senior high","上海市","married","Yes","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes"
"549","male","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No"
"550","femal","college","上海市","unmarried","No","Little Risk Preference","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"551","femal","senior high","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"552","femal","college","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"553","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"554","femal","undergraduate","上海市","unmarried","No","Little Risk Preference","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"555","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"556","male","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No"
"557","femal","undergraduate","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"558","femal","college","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"559","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"560","male","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"561","femal","undergraduate","上海市","unmarried","No","Risk Reverse","No","Yes","one","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"562","femal","special school","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No"
"563","femal","undergraduate","上海市","widowed","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"564","male","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"565","femal","undergraduate","上海市","unmarried","Yes","Little Risk Preference","No","No","none","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"566","male","college","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes"
"567","femal","undergraduate","上海市","married","Yes","Little Risk Preference","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"568","femal","senior high","上海市","married","No","Risk Preference","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes"
"569","male","college","上海市","married","Yes","Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"570","femal","undergraduate","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"571","femal","junior high","上海市","married","No","Risk Preference","No","No","none","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes"
"572","male","primary","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"573","male","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"574","femal","college","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"575","femal","master","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"576","male","college","上海市","unmarried","No","Little Risk Preference","No","Yes","one","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"577","male","senior high","上海市","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No"
"578","femal","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"579","femal","undergraduate","上海市","unmarried","Yes","Risk Preference","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"580","male","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No"
"581","male","special school","上海市","married","No","Little Risk Preference","No","Yes","one","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"582","male","undergraduate","上海市","unmarried","No","Little Risk Preference","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"583","male","special school","上海市","divorce","No","Risk Neutral","Yes","No","one","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes"
"584","male","junior high","上海市","married","No","Little Risk Preference","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"585","male","undergraduate","上海市","married","No","Little Risk Preference","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"586","male","undergraduate","上海市","unmarried","No","Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"587","male","college","上海市","married","Yes","Risk Neutral","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"588","femal","doctor","上海市","married","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"589","male","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"590","femal","junior high","上海市","married","No","Little Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"591","male","senior high","上海市","married","No","Little Risk Reverse","No","No","none","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No"
"592","male","junior high","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"593","male","undergraduate","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes"
"594","male","undergraduate","上海市","unmarried","No","Little Risk Preference","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"595","femal","special school","上海市","married","Yes","Little Risk Preference","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"596","male","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"597","male","doctor","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"598","male","senior high","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"599","femal","senior high","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"600","male","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"601","male","college","上海市","married","No","Risk Reverse","No","Yes","one","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"602","femal","undergraduate","上海市","married","Yes","Little Risk Preference","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"603","male","special school","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"604","femal","primary","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"605","femal","senior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"606","male","college","上海市","divorce","No","Risk Preference","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"607","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"608","male","senior high","上海市","married","No","Risk Neutral","Yes","No","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"609","femal","none","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"610","male","college","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"611","femal","college","上海市","married","No","Risk Neutral","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"612","male","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No"
"613","femal","junior high","上海市","married","No","Risk Neutral","No","No","none","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"614","femal","college","上海市","unmarried","No","Little Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"615","male","undergraduate","上海市","unmarried","No","Risk Neutral","No","Yes","one","No","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes"
"616","male","doctor","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"617","male","junior high","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","No"
"618","male","college","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"619","male","undergraduate","上海市","unmarried","No","Risk Neutral","No","Yes","one","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"620","male","college","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"621","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"622","male","undergraduate","上海市","married","Yes","Little Risk Preference","Yes","Yes","two","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"623","male","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"624","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"625","femal","undergraduate","上海市","unmarried","No","Risk Neutral","No","Yes","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"626","male","undergraduate","上海市","unmarried","Yes","Risk Preference","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"627","femal","college","上海市","married","Yes","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"628","femal","college","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No"
"629","femal","primary","上海市","widowed","No","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"630","male","master","上海市","married","No","Risk Preference","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"631","male","special school","上海市","widowed","No","Risk Reverse","No","Yes","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"632","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"633","femal","primary","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"634","male","undergraduate","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"635","male","senior high","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"636","male","undergraduate","上海市","married","Yes","Little Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No"
"637","femal","undergraduate","上海市","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"638","femal","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"639","male","college","上海市","married","Yes","Risk Neutral","No","No","none","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No"
"640","femal","junior high","上海市","married","No","Risk Neutral","No","No","none","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"641","male","special school","上海市","unmarried","No","Risk Preference","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"642","femal","senior high","上海市","married","No","Risk Reverse","No","Yes","one","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"643","femal","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","No","No","No","No"
"644","male","master","上海市","unmarried","Yes","Little Risk Preference","No","No","none","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"645","male","master","上海市","married","No","Risk Neutral","Yes","Yes","two","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"646","femal","senior high","上海市","married","No","Little Risk Reverse","Yes","No","one","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No"
"647","femal","undergraduate","上海市","separated","No","Risk Neutral","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No"
"648","femal","undergraduate","上海市","unmarried","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"649","male","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"650","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No"
"651","femal","primary","上海市","married","No","Little Risk Reverse","No","Yes","one","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No"
"652","femal","undergraduate","上海市","unmarried","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes"
"653","male","senior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"654","femal","senior high","上海市","unmarried","No","Risk Preference","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"655","male","senior high","上海市","unmarried","No","Risk Preference","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"656","femal","college","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"657","femal","primary","上海市","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"658","femal","senior high","上海市","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"659","femal","undergraduate","上海市","married","Yes","Risk Preference","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"660","femal","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"661","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"662","femal","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"663","femal","undergraduate","上海市","unmarried","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"664","femal","undergraduate","上海市","unmarried","Yes","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"665","femal","master","上海市","unmarried","No","Risk Preference","Yes","Yes","two","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No"
"666","femal","undergraduate","上海市","unmarried","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"667","male","undergraduate","上海市","married","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"668","femal","undergraduate","上海市","unmarried","No","Little Risk Preference","Yes","Yes","two","Yes","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"669","femal","senior high","上海市","married","No","Risk Neutral","No","Yes","one","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No"
"670","femal","undergraduate","上海市","unmarried","Yes","Risk Neutral","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"671","femal","college","上海市","divorce","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"672","femal","undergraduate","上海市","married","Yes","Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"673","femal","junior high","上海市","married","No","Risk Neutral","Yes","Yes","two","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No"
"674","male","master","上海市","married","Yes","Little Risk Reverse","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes"
"675","male","doctor","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"676","male","college","上海市","unmarried","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","No","No","No","No"
"677","male","undergraduate","上海市","unmarried","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"678","male","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No"
"679","femal","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"680","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"681","male","undergraduate","上海市","unmarried","Yes","Risk Preference","Yes","Yes","two","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes"
"682","femal","primary","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"683","male","undergraduate","上海市","unmarried","Yes","Risk Neutral","No","Yes","one","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"684","male","undergraduate","上海市","unmarried","Yes","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"685","male","undergraduate","上海市","unmarried","Yes","Little Risk Preference","Yes","Yes","two","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"686","femal","undergraduate","上海市","married","No","Little Risk Preference","No","Yes","one","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"687","femal","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No"
"688","male","college","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
"689","femal","undergraduate","上海市","unmarried","Yes","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"690","male","junior high","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"691","femal","master","上海市","unmarried","Yes","Little Risk Preference","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"692","femal","college","上海市","unmarried","No","Risk Neutral","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"693","femal","college","上海市","married","No","Risk Neutral","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"694","femal","special school","上海市","married","No","Risk Neutral","Yes","Yes","two","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"695","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes"
"696","femal","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"697","femal","college","上海市","married","Yes","Risk Preference","Yes","Yes","two","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"698","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"699","femal","college","上海市","married","Yes","Risk Neutral","Yes","Yes","two","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"700","femal","senior high","上海市","married","No","Risk Reverse","No","Yes","one","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No"
"701","male","primary","上海市","married","No","Risk Reverse","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"702","male","master","上海市","married","Yes","Risk Neutral","Yes","Yes","two","No","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
"703","femal","undergraduate","上海市","married","Yes","Little Risk Preference","Yes","Yes","two","No","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No"
"704","male","undergraduate","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"705","femal","master","上海市","married","No","Little Risk Preference","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"706","male","undergraduate","上海市","unmarried","Yes","Risk Reverse","Yes","No","one","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"707","male","junior high","上海市","separated","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"708","femal","college","上海市","married","No","Little Risk Reverse","Yes","No","one","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"709","femal","undergraduate","上海市","married","No","Little Risk Preference","Yes","Yes","two","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No"
"710","male","senior high","上海市","unmarried","No","Risk Neutral","Yes","No","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"711","femal","junior high","上海市","married","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"712","femal","junior high","上海市","married","No","Risk Neutral","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"713","male","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"714","male","undergraduate","上海市","married","Yes","Risk Neutral","Yes","Yes","two","No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"715","femal","undergraduate","上海市","married","Yes","Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"716","femal","undergraduate","上海市","married","No","Risk Neutral","No","No","none","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No"
"717","femal","special school","上海市","married","Yes","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"718","male","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","No","No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No"
"719","femal","college","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No"
"720","femal","senior high","上海市","married","No","Risk Reverse","No","No","none","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"721","male","undergraduate","上海市","unmarried","No","Risk Neutral","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No"
"722","femal","special school","上海市","cohabitation","No","Little Risk Reverse","No","Yes","one","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"723","male","college","上海市","married","Yes","Risk Neutral","Yes","Yes","two","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"724","male","undergraduate","上海市","married","No","Little Risk Reverse","Yes","Yes","two","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"725","femal","junior high","上海市","widowed","No","Risk Reverse","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"726","male","primary","上海市","married","No","Little Risk Reverse","No","No","none","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"727","femal","junior high","上海市","married","No","Little Risk Reverse","No","Yes","one","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No"
"728","male","undergraduate","上海市","married","Yes","Risk Reverse","No","Yes","one","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"729","femal","college","上海市","married","No","Little Risk Reverse","No","Yes","one","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"730","male","college","上海市","married","No","Risk Preference","Yes","Yes","two","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"731","femal","college","上海市","widowed","No","Risk Reverse","No","No","none","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"732","femal","junior high","上海市","married","No","Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"733","femal","junior high","上海市","married","No","Risk Reverse","Yes","No","one","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"734","femal","senior high","上海市","married","No","Little Risk Reverse","No","No","none","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"735","femal","undergraduate","上海市","married","Yes","Risk Reverse","Yes","Yes","two","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"736","femal","senior high","上海市","married","No","Little Risk Reverse","No","No","none","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No"
"737","male","special school","上海市","married","No","Risk Neutral","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"738","male","undergraduate","上海市","married","No","Else","Yes","Yes","two","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No"
"739","femal","undergraduate","上海市","widowed","No","Else","Yes","Yes","two","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"740","femal","undergraduate","上海市","married","No","Risk Neutral","Yes","Yes","two","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No"
